term	language	type	decade	count
state	English	search_term	1620	695
right	English	search_term	1620	638
republic	Latin	search_term	1620	236
justice	English	search_term	1620	30
violence	German	search_term	1620	9
state	Italian	search_term	1620	87
monarchy	English	search_term	1620	76
nation, people	French	search_term	1620	71
philosophy	Italian	search_term	1620	18
law	Latin	search_term	1620	50
justice	French	search_term	1620	33
king, queen	Latin	search_term	1620	451
right	Latin	search_term	1620	365
right	Spanish	search_term	1620	32
law	Spanish	search_term	1620	73
nation, people	English	search_term	1620	217
king, queen	French	search_term	1620	77
king, queen	Dutch	search_term	1620	12
science	Latin	search_term	1620	8
philosophy	English	search_term	1620	25
republic	English	search_term	1620	85
right	German	search_term	1620	64
state	Spanish	search_term	1620	110
Enlightenment	French	search_term	1620	21
philosophy	French	search_term	1620	87
king, queen	Italian	search_term	1620	80
law	Italian	search_term	1620	61
nation, people	Spanish	search_term	1620	45
monarchy	Latin	search_term	1620	13
state	Latin	search_term	1620	9
science	English	search_term	1620	5
science	French	search_term	1620	33
science	Italian	search_term	1620	14
nation, people	Italian	search_term	1620	11
right	Dutch	search_term	1620	16
monarchy	Spanish	search_term	1620	8
law	Dutch	search_term	1620	10
violence	French	search_term	1620	2
republic	French	search_term	1620	17
justice	Spanish	search_term	1620	4
monarchy	French	search_term	1620	21
nation, people	Dutch	search_term	1620	3
right	French	search_term	1620	11
state	German	search_term	1620	1
justice	Italian	search_term	1620	2
justice	Latin	search_term	1620	2
justice	German	search_term	1620	6
king, queen	German	search_term	1620	2
republic	Spanish	search_term	1620	7
revolution	Spanish	search_term	1620	1
philosophy	Spanish	search_term	1620	2
law	French	search_term	1620	1
republic	Italian	search_term	1620	1
state	French	search_term	1620	2
nation, people	German	search_term	1620	1
right	Italian	search_term	1620	2
monarchy	Dutch	search_term	1620	1
sancti	Latin	common_term	1620	245
holy	English	common_term	1620	911
vida	Spanish	common_term	1620	131
vie	French	common_term	1620	303
reichs	German	common_term	1620	142
vita	Italian	common_term	1620	237
man	English	common_term	1620	694
doctoris	Latin	common_term	1620	329
guerre	French	common_term	1620	84
gottes	German	common_term	1620	133
morte	Italian	common_term	1620	63
heeren	Dutch	common_term	1620	232
historia	Spanish	common_term	1620	216
andere	Dutch	common_term	1620	58
nation, people	English	search_term	1630	279
republic	Latin	search_term	1630	305
king, queen	English	search_term	1630	3189
philosophy	French	search_term	1630	71
king, queen	Latin	search_term	1630	342
justice	French	search_term	1630	22
republic	English	search_term	1630	98
right	Latin	search_term	1630	271
state	Spanish	search_term	1630	60
science	English	search_term	1630	9
nation, people	French	search_term	1630	38
state	English	search_term	1630	578
right	English	search_term	1630	697
king, queen	Italian	search_term	1630	69
law	Latin	search_term	1630	146
justice	English	search_term	1630	116
king, queen	Spanish	search_term	1630	185
right	Spanish	search_term	1630	45
right	German	search_term	1630	52
law	English	search_term	1630	319
right	Dutch	search_term	1630	33
law	Dutch	search_term	1630	23
state	Italian	search_term	1630	56
science	Latin	search_term	1630	35
right	French	search_term	1630	10
philosophy	English	search_term	1630	78
monarchy	French	search_term	1630	16
monarchy	English	search_term	1630	62
law	Spanish	search_term	1630	67
law	Italian	search_term	1630	14
Enlightenment	French	search_term	1630	26
state	Latin	search_term	1630	23
king, queen	French	search_term	1630	53
science	French	search_term	1630	33
king, queen	Dutch	search_term	1630	3
justice	Spanish	search_term	1630	12
